[21:06:08] [info] VERTEX: Creating window: Game (1280, 720, 1.7777778)
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 119.82727
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 11.798382
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 9.7670555
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.943932
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 16.663074
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] APP: 1, 1
[21:06:13] [info] VERTEX: 18.079758
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 307
[21:06:13] [info] APP: 1, 1
